Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,779.8071217457766,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,780.0155972314535,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,780.2224734072806,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,780.4277623958188,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,780.6314762276598,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,780.8336268470159,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,781.0342261079932,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,781.2332857778531,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,781.4308175365442,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,781.6268329777523,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,781.8213436090153,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,782.0143608533541,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,782.2058960476427,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,782.3959604469125,0.0 
 01/15  03:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,782.5845652200517,0.0 
 01/15  04:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,782.7717214557342,0.0 
 01/15  04:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,782.9574401588181,0.0 
 01/15  04:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,783.141732252436,0.0 
 01/15  04:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,783.3246085788126,0.0 
 01/15  05:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,783.5060799003113,0.0 
 01/15  05:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,783.6861568982713,0.0 
 01/15  05:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,783.8648501751015,0.0 
 01/15  05:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,784.0421702541646,0.0 
 01/15  06:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,784.2181275809415,0.0 
 01/15  06:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,784.3927325222179,0.0 
 01/15  06:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,784.5659953688738,0.0 
 01/15  06:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,784.7379263344922,0.0 
 01/15  07:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,784.9085355557037,0.0 
 01/15  07:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,785.0778330950998,0.0 
 01/15  07:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,785.2458289397183,0.0 
 01/15  07:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,785.4125330009267,0.0 
 01/15  08:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,785.5779551180315,0.0 
 01/15  08:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,785.7421050556006,0.0 
 01/15  08:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,785.9049925059082,0.0 
 01/15  08:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,786.0666270881195,0.0 
 01/15  09:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,786.2270183506191,0.0 
 01/15  09:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,786.3861757696143,0.0 
 01/15  09:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,786.5441087498328,0.0 
 01/15  09:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,786.7008266281339,0.0 
 01/15  10:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,786.856338668382,0.0 
 01/15  10:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.010654067737,0.0 
 01/15  10:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.1637819524619,0.0 
 01/15  10:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.3157313822304,0.0 
 01/15  11:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.4665113474474,0.0 
 01/15  11:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.6161307720466,0.0 
 01/15  11:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.7645985132552,0.0 
 01/15  11:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,787.9119233603125,0.0 
 01/15  12:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.0581140385476,0.0 
 01/15  12:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.203179206932,0.0 
 01/15  12:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.3471274593613,0.0 
 01/15  12:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.8202517077604695e-8,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.4899673252368,0.0 
 01/15  13:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.6317072699311,0.0 
 01/15  13:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.7723556963028,0.0 
 01/15  13:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,788.9119209421334,0.0 
 01/15  13:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,789.0504112836205,0.0 
 01/15  14:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.658346999999999,7.672723220473651,8.67531244646692,2.552782333333333,789.1878349354957,0.0 
