Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:AFN Node Total Pressure [Pa](TimeStep),ExtNode   1:AFN Node Total Pressure [Pa](TimeStep),ExtNode   2:AFN Node Total Pressure [Pa](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 5:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 5:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 5:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 2:AFN Surface Venting Window or Door Opening Factor [](TimeStep),GATE 5:AFN Surface Venting Window or Door Opening Factor [](TimeStep),ZONE_HALLE:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_HALLE:AFN Zone Infiltration Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,779.807121746242,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,780.0155972315697,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,780.22247340763,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,780.4277623961682,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,780.6314762276598,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,780.8336268474816,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,781.0342261078767,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,781.2332857779693,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,781.430817536544,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,781.6268329776359,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,781.8213436093649,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,782.0143608528888,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,782.2058960478753,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,782.395960446331,0.0 
 01/15  03:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,782.5845652201676,0.0 
 01/15  04:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,782.7717214555016,0.0 
 01/15  04:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,782.9574401584689,0.0 
 01/15  04:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,783.1417322523196,0.0 
 01/15  04:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,-2.924807931206974,0.5368128295657091,-6.385685855329135,0.0,13.792339708240757,-3.461620760772683,13.79085976490679,0.0,3.460877924122161,1.0,1.0,0.0,0.0,783.3246085784633,0.0 
