Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),ZONE_SUED:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,410.5325700311223,0.0,389.9917404085864,0.0 
 01/15  00:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,6.66047930809961e-8,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,410.6354479480069,0.0,390.09462578978867,0.0 
 01/15  00:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,410.7375245454023,0.0,390.1967127415119,0.0 
 01/15  01:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.000000000000004,6.66047930809961e-8,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,410.8388059983264,0.0,390.29800738825,0.0 
 01/15  01:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,410.9392984336009,0.0,390.3985158076976,0.0 
 01/15  01:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,411.0390079336939,0.0,390.4982440331952,0.0 
 01/15  01:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,411.1379405343905,0.0,390.5971980514006,0.0 
 01/15  02:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,411.2361022257247,0.0,390.6953838055488,0.0 
 01/15  02:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,411.33349895325955,0.0,390.7928071938223,0.0 
 01/15  02:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,411.4301366172732,0.0,390.88947406958323,0.0 
 01/15  02:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.000000000000004,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,1.3320957353400967e-7,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,1.3320957353400967e-7,411.52602107368887,0.0,390.985390243237,0.0 
 01/15  03:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.000000000000004,0.0,18.086421714553918,18.1203734780543,20.48814965061249,12.057614476369277,18.08642,18.120371760281827,20.488147708379923,1.3320957353400967e-7,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,1.3320957353400967e-7,411.6211581337266,0.0,391.0805614811835,0.0 
