Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),ZONE_SUED:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  06:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.000000000000004,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,5.517720861675933e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,5.517720861675933e-8,412.96234677353647,0.0,392.42252906598145,0.0 
 01/15  07:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,413.0462810120663,0.0,392.5065311699873,0.0 
 01/15  07:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.1295601887395,0.0,392.58987999032263,0.0 
 01/15  07:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.21218937158113,0.0,392.67258056008734,0.0 
 01/15  07:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,413.29417359078076,0.0,392.75463787431374,0.0 
 01/15  08:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.37551783770334,0.0,392.8360568901991,0.0 
 01/15  08:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.45622706593724,0.0,392.9168425273384,0.0 
 01/15  08:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,413.53630619158514,0.0,392.9969996683067,0.0 
 01/15  08:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.000000000000004,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.61576009343855,0.0,393.07653315877553,0.0 
 01/15  09:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,413.6945936123375,0.0,393.15544780727953,0.0 
 01/15  09:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,413.77281155379035,0.0,393.23374838707974,0.0 
 01/15  09:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.85041868506244,0.0,393.3114396339515,0.0 
 01/15  09:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,413.9274197383785,0.0,393.3885262485129,0.0 
 01/15  10:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,414.0038194090595,0.0,393.4650128959912,0.0 
 01/15  10:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.07962235755997,0.0,393.54090420575824,0.0 
 01/15  10:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.15483320754737,0.0,393.6162047721446,0.0 
 01/15  10:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.2294565491029,0.0,393.690919155255,0.0 
 01/15  11:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,414.30349693534663,0.0,393.7650518794545,0.0 
 01/15  11:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.37695888633607,0.0,393.8386074360461,0.0 
 01/15  11:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,16.999999999999996,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,5.517720861675933e-8,7.49164,7.505703278713961,8.486468129016542,5.517720861675933e-8,0.0,414.4498468871462,0.0,393.91159028175764,0.0 
 01/15  11:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,414.5221653881018,0.0,393.98400483885774,0.0 
 01/15  12:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.000000000000004,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.5939188060584,0.0,394.0558554973687,0.0 
 01/15  12:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.6651115239367,0.0,394.12714661203796,0.0 
 01/15  12:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,414.73574789171107,0.0,394.19788250722934,0.0 
 01/15  12:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.8058322250726,0.0,394.26806747156667,0.0 
 01/15  13:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.8753688078724,0.0,394.3377057632899,0.0 
 01/15  13:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,414.94436189037503,0.0,394.40680160687765,0.0 
 01/15  13:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,415.0128156908322,0.0,394.47535919561057,0.0 
 01/15  13:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,415.0807343949563,0.0,394.54338268993905,0.0 
 01/15  14:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,415.1481221567957,0.0,394.6108762196963,0.0 
 01/15  14:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.000000000000007,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,415.2149830981507,0.0,394.6778438824695,0.0 
