Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,779.8071217454273,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,780.0155972313369,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,780.222473407397,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,780.427762395586,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,780.6314762277763,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,780.8336268470157,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,781.0342261078766,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,781.233285777853,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,781.430817536544,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.820252278357402e-8,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,781.6268329775195,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,781.8213436087824,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,782.0143608530052,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,782.2058960476425,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,782.3959604462144,0.0 
 01/15  03:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,782.5845652199351,0.0 
 01/15  04:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.820252278357402e-8,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,782.7717214555016,0.0 
 01/15  04:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.820252278357402e-8,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,782.957440158236,0.0 
 01/15  04:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,783.1417322517374,0.0 
 01/15  04:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,783.3246085785797,0.0 
 01/15  05:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,783.5060798998456,0.0 
 01/15  05:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,783.6861568979223,0.0 
 01/15  05:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.65834854944656,7.672724772828826,8.67531420166723,2.55278284981552,783.8648501747523,0.0 
