case,szen,time,gate_south_x,gate_north_x,Q_in,Q_out,Q_in_gate,Q_out_gate,Q_cfd,ACH,cpA_south,cpA_north,dCp_A,area_A,cpB_south,cpB_north,dCp_B,area_B,cpC_south_d005,cpC_north_d005,dCp_C_d005,cpC_south_d025,cpC_north_d025,dCp_C_d025,cpC_south_d050,cpC_north_d050,dCp_C_d050,cpC_south_d100,cpC_north_d100,dCp_C_d100,cpC_south_d200,cpC_north_d200,dCp_C_d200,cpC_south_d400,cpC_north_d400,dCp_C_d400,cpD_south,cpD_north,dCp_D,area_D,cpE_south,cpE_north,dCp_E,area_E,CD_geom,CD_A,CD_B,CD_D,CD_E,CD_C_d005,CD_C_d025,CD_C_d050,CD_C_d100,CD_C_d200,CD_C_d400,astar
1,1,1000.0,6.00-9.00,6.00-9.00,9.600239454213638,10.013893372118455,9.600240673361427,10.013890539420446,9.807066413166046,3.2690221377220157,-0.548992607105297,-0.5147621811531042,-0.03423042595219272,170.99819194357417,-0.4288174232296157,-0.5214663552727868,0.09264893204317115,44.992117342629406,-0.26290201105867916,-0.5065866199405363,0.24368460888185717,-0.26286818242622456,-0.5139920485319944,0.25112386610576987,-0.2535782610247508,-0.513597746619968,0.26001948559521726,-0.2512351847242306,-0.50969666751842,0.2584614827941894,-0.23783021893159725,-0.4915754716608587,0.2537452527292614,-0.22977997907920816,-0.47957305149614265,0.2497930724169345,-0.2431584293223846,-0.5299559693297212,0.2867975400073366,10.995958677866053,-0.4912145180492364,-0.5106408324780811,0.019426314428844738,35.98968468308267,0.5583252395034268,nan,0.9927073098288391,0.5642268090898513,2.167934824648074,0.6121070458728466,0.6029724009778744,0.5925683906990903,0.5943517049582964,0.5998497272285194,0.604576460569331,6.363961030678928
3,2,1000.0,6.00-9.00,6.00-9.00,8.353517382712337,8.789367326935576,8.353518677102747,8.789364485455572,8.571442354823956,2.8571474516079856,-0.5524508165037403,-0.5073264288774607,-0.04512438762627957,170.9981919435741,-0.4273786078718095,-0.5093206244171493,0.08194201654533984,44.992117342629406,-0.23372457711152078,-0.5038038745446751,0.27007929743315434,-0.23618040076488409,-0.5129280460905515,0.2767476453256674,-0.23084258457856585,-0.5149313776275939,0.284088793049028,-0.23530066996611643,-0.5176824261493727,0.2823817561832562,-0.2311423268764374,-0.5158458703180211,0.28470354344158366,-0.22742619065414413,-0.4938679911237687,0.2664418004696246,-0.23870749509421538,-0.5216055095183447,0.2828980144241293,10.995958677866053,-0.49017198001552226,-0.5123773968205909,0.022205416805068656,35.98405037177913,0.4879800343986796,nan,0.9431071611304682,0.5075740572098673,1.8116942315015279,0.5194798645942796,0.5131831628307175,0.5065091735558641,0.5080378258964325,0.5059620342799781,0.5230138461087491,6.225430174794671
4,3,1000.0,6.00-9.00,1.10-4.00,8.941747141526392,9.376087840543052,8.941747186406259,9.376085730182265,9.158917491034721,3.0529724970115737,-0.5461490372784431,-0.5040513404154506,-0.04209769686299247,170.9967931107372,-0.42397264047264205,-0.5018722847839626,0.07789964431132057,44.992616376803866,-0.24624179237384217,-0.49519961905179105,0.24895782667794888,-0.24700426675698017,-0.5074916626939605,0.26048739593698034,-0.2395230725372282,-0.5059286592663456,0.26640558672911735,-0.23996620998310988,-0.49721708114082014,0.2572508711577103,-0.23058059068709005,-0.48625528745641916,0.2556746967693291,-0.22414223737501762,-0.5036540718774969,0.2795118345024793,-0.23918439536472832,-0.5230988988264569,0.28391450346172853,10.995197713285336,-0.4880758539598228,-0.5067970379215763,0.018721183961753485,35.98474447512752,0.5214255299534807,nan,1.0110641733239931,0.5296057231993957,2.0624327840364307,0.5655663564531304,0.552908290387814,0.5467323791721239,0.5563755439414163,0.5580878711759354,0.5337604105307707,6.363961030678928
5,4,1000.0,6.00-9.00,6.00-9.00,22.60805159413136,25.552197135860524,22.608053674192877,25.552196945283782,24.080124364995942,8.026708121665315,0.911727189138529,-0.339619861737098,1.251347050875627,170.99130552273294,0.9116041572242227,-0.3332239000550284,1.2448280572792512,44.99085221217078,0.6867964069213145,-0.23778528371940197,0.9245816906407165,0.8177102652855395,-0.24813158351044878,1.0658418487959882,0.9029778126434961,-0.3290956703259536,1.2320734829694497,0.9581177929663015,-0.39064243705719626,1.3487602300234978,0.9270107649581147,-0.4309689730224162,1.357979737980531,0.7883206795043216,-0.4338534585037201,1.2221741380080418,1.0590345160338714,-0.3836172435651803,1.4426517595990518,10.998740908144388,0.8936829769499135,-0.281649956275575,1.1753329332254885,35.97807979492662,0.5678458737720029,0.6632421991487231,0.6649765855881905,0.6177038141033058,0.6843536456663931,0.7715932032333422,0.7186454061563237,0.668409682686945,0.6388422961894741,0.636670009582808,0.6711112098720442,6.363961030678928
3-90,5,1000.0,6.00-9.00,6.00-9.00,20.857946029777732,23.68035001120006,20.857948097789738,23.68034978780048,22.269148020488895,7.423049340162966,0.9119389553110339,-0.3593410915805618,1.2712800468915957,170.99130552273294,0.923656695534187,-0.30714873325082187,1.230805428785009,44.99085221217077,0.7451887570937498,-0.21306814673283747,0.9582569038265872,0.8571456477914556,-0.22547622998439712,1.0826218777758527,0.9289897340521638,-0.30330113459283436,1.232290868644998,0.9723604705158431,-0.3630380760607449,1.335398546576588,0.9330509747798266,-0.39138891288378186,1.3244398876636083,0.7904425136640896,-0.37765723634160225,1.1680997500056918,1.0676863215239907,-0.36579889907159774,1.4334852205955884,10.999865123336294,0.9092524333322062,-0.3347147294419087,1.243967162774115,35.97807979492662,0.5251403034377442,0.6220759968533233,0.6322216413460019,0.585824390926189,0.6288681522562557,0.7165113612088421,0.674102068744043,0.6318404771119949,0.6069579579202526,0.6094638259124929,0.6489692123849417,6.225430174794671
4-90,6,1000.0,6.00-9.00,1.10-4.00,23.899502884458098,26.430268368940695,23.899504948064923,26.430268169606755,25.164885626699395,8.388295208899798,0.9108141624878716,-0.33852780406344507,1.2493419665513166,170.9913055227329,0.9017092325105523,-0.2798185764686221,1.1815278089791745,44.990852212170765,0.6395868676583472,-0.258255606120318,0.8978424737786652,0.7856166860933944,-0.2682682005931554,1.0538848866865498,0.8813008321437111,-0.3184115237133912,1.1997123558571023,0.9460763900579894,-0.33482962234548785,1.2809060124034772,0.92175637833138,-0.31692296713089446,1.2386793454622744,0.7866503975795128,-0.32224661376939345,1.1088970113489063,1.0504675731277793,-0.40710816148866175,1.457575734616441,10.999865123336296,0.8806979862294769,-0.38118617324120413,1.261884159470681,35.97800090627829,0.5934261904327188,0.6936759041349869,0.713305050898363,0.6422168681670828,0.690219983287604,0.8182710756159491,0.7552673052171314,0.7078784761987178,0.6850758229752294,0.6966551070778613,0.7362946870193329,6.363961030678928
